=== overpass_pois: 593 elements; osm3s=2026-09-04T15:32:36Z
{'station': 76, 'hospital': 373, 'other': 63, 'fire_station': 11, 'government': 43, 'school': 4, 'library': 1, 'pumping_station': 13, 'tunnel': 5, 'parking': 2, 'wastewater_plant': 1, 'cinema': 1}
  way/551583322 |  | administrative | 19.05800 72.88547 | admin_level=10 | operator=
  way/551583323 |  | administrative | 19.06937 72.90223 | admin_level=10 | operator=
  way/551583324 |  | administrative | 19.04964 72.84067 | admin_level=10 | operator=
  way/551583327 |  | administrative | 19.13215 72.88772 | admin_level=10 | operator=
  way/551583329 |  | administrative | 19.11866 72.89645 | admin_level=10 | operator=
  way/551583330 |  | administrative | 19.10803 72.93480 | admin_level=10 | operator=
  way/551583331 |  | administrative | 19.01112 72.85653 | admin_level=10 | operator=
  way/551583333 |  | administrative | 19.05235 72.86547 | admin_level=10 | operator=
  way/551583335 |  | administrative | 19.08815 72.89954 | admin_level=10 | operator=
  way/551583348 |  | administrative | 19.01335 72.83164 | admin_level=10 | operator=
  way/551583349 |  | administrative | 19.01217 72.83959 | admin_level=10 | operator=
  way/551583358 |  | administrative | 18.99775 72.83468 | admin_level=10 | operator=
  way/551583359 |  | administrative | 19.05168 72.85339 | admin_level=10 | operator=
  way/551583360 |  | administrative | 19.07072 72.84205 | admin_level=10 | operator=
  way/551583364 |  | administrative | 19.05020 72.87280 | admin_level=10 | operator=
  way/551583367 |  | administrative | 19.06703 72.86975 | admin_level=10 | operator=
  way/551583389 |  | administrative | 19.08566 72.83343 | admin_level=10 | operator=
  way/551583390 |  | administrative | 19.11699 72.84639 | admin_level=10 | operator=
  way/551583391 |  | administrative | 19.13886 72.89258 | admin_level=10 | operator=
  way/551583397 |  | administrative | 19.03467 72.85511 | admin_level=10 | operator=
  way/551583409 |  | administrative | 19.10520 72.87936 | admin_level=10 | operator=
  way/551583411 |  | administrative | 19.13959 72.87033 | admin_level=10 | operator=
  way/551583412 |  | administrative | 19.08805 72.85647 | admin_level=10 | operator=
  way/551583413 |  | administrative | 19.02823 72.88106 | admin_level=10 | operator=
  way/551583414 |  | administrative | 19.03018 72.90313 | admin_level=10 | operator=
  way/1534917967 |  | administrative | 19.14032 72.90547 | admin_level=10 | operator=
  way/1534917969 |  | administrative | 19.13981 72.90676 | admin_level=10 | operator=
  way/1534917970 |  | administrative | 19.13965 72.90861 | admin_level=10 | operator=
  way/1534917971 |  | administrative | 19.14510 72.91695 | admin_level=10 | operator=
  way/1534917973 |  | administrative | 19.14099 72.89808 | admin_level=10 | operator=
  relation/7885377 | P/S Ward | administrative | 19.15769 72.85319 | admin_level=10 | operator=
  relation/7885378 | H/E Ward | administrative | 19.07273 72.85841 | admin_level=10 | operator=
  relation/7885379 | K/E Ward | administrative | 19.11262 72.86675 | admin_level=10 | operator=
  relation/7885380 | L Ward | administrative | 19.08850 72.88578 | admin_level=10 | operator=
  relation/7885381 | G/N Ward | administrative | 19.02987 72.84716 | admin_level=10 | operator=
  relation/7885382 | H/W Ward | administrative | 19.06551 72.83039 | admin_level=10 | operator=
  relation/7885383 | K/W Ward | administrative | 19.11864 72.81513 | admin_level=10 | operator=
  relation/7885386 | T Ward | administrative | 19.17573 72.93558 | admin_level=10 | operator=
  relation/7885387 | S Ward | administrative | 19.13312 72.92742 | admin_level=10 | operator=
  relation/7885388 | N Ward | administrative | 19.08674 72.92636 | admin_level=10 | operator=
  relation/7885389 | M/W Ward | administrative | 19.03307 72.89483 | admin_level=10 | operator=
  relation/7885391 | G/S Ward | administrative | 19.00241 72.82121 | admin_level=10 | operator=
  relation/7885392 | M/E Ward | administrative | 19.03555 72.92888 | admin_level=10 | operator=
  relation/7885395 | F/S Ward | administrative | 18.99766 72.85162 | admin_level=10 | operator=
  relation/7885396 | F/N Ward | administrative | 19.02847 72.86384 | admin_level=10 | operator=
  relation/7888964 | Mumbai Zone 6 | administrative | 19.13668 72.93326 | admin_level=9 | operator=
  relation/7888965 | Mumbai Zone 5 | administrative | 19.06084 72.91371 | admin_level=9 | operator=
  relation/7888966 | Mumbai Zone 4 | administrative | 19.20255 72.84554 | admin_level=9 | operator=
  relation/7888967 | Mumbai Zone 3 | administrative | 19.09849 72.83548 | admin_level=9 | operator=
  relation/7888968 | Mumbai Zone 2 | administrative | 19.01531 72.84546 | admin_level=9 | operator=
